passenger;date_dep;date_arr;diff_dep;diff_arr;model;airport_dep;airport_arr;fare_condition;amount
5;2017/06/17 12:09:00.000;2017/06/17 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
4;2017/06/17 12:09:00.000;2017/06/17 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
76;2017/06/17 12:09:00.000;2017/06/17 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
42;2017/06/18 12:07:00.000;2017/06/18 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
17;2017/06/18 12:07:00.000;2017/06/18 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
84;2017/06/18 12:07:00.000;2017/06/18 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
45;2017/06/18 12:07:00.000;2017/06/18 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
58;2017/06/20 12:08:00.000;2017/06/20 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
16;2017/06/20 12:08:00.000;2017/06/20 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
79;2017/06/20 12:08:00.000;2017/06/20 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
8;2017/06/25 12:10:00.000;2017/06/25 13:00:00.000;00:05:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
5;2017/06/25 12:10:00.000;2017/06/25 13:00:00.000;00:05:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
28;2017/06/25 12:10:00.000;2017/06/25 13:00:00.000;00:05:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
60;2017/06/29 12:10:00.000;2017/06/29 13:00:00.000;00:05:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
16;2017/06/29 12:10:00.000;2017/06/29 13:00:00.000;00:05:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
21;2017/07/02 12:09:00.000;2017/07/02 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
12;2017/07/02 12:09:00.000;2017/07/02 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
85;2017/07/03 12:06:00.000;2017/07/03 12:56:00.000;00:01:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
99;2017/06/01 14:12:00.000;2017/06/01 16:00:00.000;00:02:00;01:48:00;Боинг 737-300;Сочи;Курумоч;Economy;13400,0
47;2017/07/03 12:06:00.000;2017/07/03 12:56:00.000;00:01:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6800,0
49;2017/07/04 12:07:00.000;2017/07/04 12:58:00.000;00:02:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
37;2017/07/04 12:07:00.000;2017/07/04 12:58:00.000;00:02:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
92;2017/07/06 12:07:00.000;2017/07/06 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
87;2017/07/06 12:07:00.000;2017/07/06 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
48;2017/07/07 12:07:00.000;2017/07/07 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
65;2017/07/07 12:07:00.000;2017/07/07 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
78;2017/07/09 12:14:00.000;2017/07/09 13:05:00.000;00:09:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
20;2017/07/09 12:14:00.000;2017/07/09 13:05:00.000;00:09:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6800,0
1;2017/07/11 12:09:00.000;2017/07/11 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
40;2017/07/13 12:06:00.000;2017/07/13 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6800,0
56;2017/07/13 12:06:00.000;2017/07/13 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
55;2017/07/16 12:09:00.000;2017/07/16 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
69;2017/07/16 12:09:00.000;2017/07/16 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
79;2017/07/18 15:50:00.000;2017/07/18 16:41:00.000;03:45:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
35;2017/07/18 15:50:00.000;2017/07/18 16:41:00.000;03:45:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
57;2017/07/18 15:50:00.000;2017/07/18 16:41:00.000;03:45:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
41;2017/07/19 12:08:00.000;2017/07/19 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6800,0
22;2017/07/19 12:08:00.000;2017/07/19 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
9;2017/07/21 12:08:00.000;2017/07/21 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
33;2017/07/21 12:08:00.000;2017/07/21 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
55;2017/07/21 12:08:00.000;2017/07/21 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
79;2017/07/23 15:57:00.000;2017/07/23 16:47:00.000;03:52:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
64;2017/07/23 15:57:00.000;2017/07/23 16:47:00.000;03:52:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6800,0
79;2017/07/26 15:32:00.000;2017/07/26 16:22:00.000;03:27:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6800,0
29;2017/07/26 15:32:00.000;2017/07/26 16:22:00.000;03:27:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
89;2017/07/27 12:10:00.000;2017/07/27 13:00:00.000;00:05:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
29;2017/07/27 12:10:00.000;2017/07/27 13:00:00.000;00:05:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
59;2017/08/03 12:10:00.000;2017/08/03 13:00:00.000;00:05:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
76;2017/08/04 12:09:00.000;2017/08/04 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
71;2017/08/04 12:09:00.000;2017/08/04 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
3;2017/08/04 12:09:00.000;2017/08/04 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
72;2017/08/04 12:09:00.000;2017/08/04 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
54;2017/08/05 12:06:00.000;2017/08/05 12:56:00.000;00:01:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
27;2017/08/06 12:08:00.000;2017/08/06 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
2;2017/08/06 12:08:00.000;2017/08/06 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
25;2017/08/08 12:07:00.000;2017/08/08 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
3;2017/08/10 12:08:00.000;2017/08/10 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
73;2017/08/10 12:08:00.000;2017/08/10 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
30;2017/08/11 12:09:00.000;2017/08/11 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
22;2017/08/11 12:09:00.000;2017/08/11 12:59:00.000;00:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6800,0
50;2017/08/12 12:08:00.000;2017/08/12 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
31;2017/08/12 12:08:00.000;2017/08/12 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
1;2017/08/12 12:08:00.000;2017/08/12 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
5;2017/05/17 15:01:00.000;2017/05/17 15:56:00.000;00:06:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
22;2017/05/17 15:01:00.000;2017/05/17 15:56:00.000;00:06:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
13;2017/05/17 15:01:00.000;2017/05/17 15:56:00.000;00:06:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
6;2017/05/17 15:01:00.000;2017/05/17 15:56:00.000;00:06:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
19;2017/05/18 15:00:00.000;2017/05/18 15:55:00.000;00:05:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
29;2017/05/18 15:00:00.000;2017/05/18 15:55:00.000;00:05:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
7;2017/05/18 15:00:00.000;2017/05/18 15:55:00.000;00:05:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
18;2017/05/18 15:00:00.000;2017/05/18 15:55:00.000;00:05:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
9;2017/05/20 18:56:00.000;2017/05/20 19:51:00.000;04:01:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
9;2017/05/20 09:50:00.000;2017/05/20 11:14:00.000;00:00:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
18;2017/05/20 18:56:00.000;2017/05/20 19:51:00.000;04:01:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
18;2017/05/20 09:50:00.000;2017/05/20 11:14:00.000;00:00:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
17;2017/05/23 15:00:00.000;2017/05/23 15:55:00.000;00:05:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
6;2017/05/23 15:00:00.000;2017/05/23 15:55:00.000;00:05:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
7;2017/05/23 15:00:00.000;2017/05/23 15:55:00.000;00:05:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
37;2017/05/23 15:00:00.000;2017/05/23 15:55:00.000;00:05:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
21;2017/05/24 14:56:00.000;2017/05/24 15:50:00.000;00:01:00;00:54:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
21;2017/05/24 09:51:00.000;2017/05/24 11:15:00.000;00:01:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
24;2017/05/24 14:56:00.000;2017/05/24 15:50:00.000;00:01:00;00:54:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
24;2017/05/24 09:51:00.000;2017/05/24 11:15:00.000;00:01:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
18;2017/05/24 14:56:00.000;2017/05/24 15:50:00.000;00:01:00;00:54:00;Аэробус A321-200;Пулково;Домодедово;Economy;7300,0
18;2017/05/24 09:51:00.000;2017/05/24 11:15:00.000;00:01:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
35;2017/05/24 14:56:00.000;2017/05/24 15:50:00.000;00:01:00;00:54:00;Аэробус A321-200;Пулково;Домодедово;Economy;7300,0
35;2017/05/24 09:51:00.000;2017/05/24 11:15:00.000;00:01:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
15;2017/05/24 14:56:00.000;2017/05/24 15:50:00.000;00:01:00;00:54:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
15;2017/05/24 09:51:00.000;2017/05/24 11:15:00.000;00:01:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;11900,0
19;2017/05/24 14:56:00.000;2017/05/24 15:50:00.000;00:01:00;00:54:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
19;2017/05/24 09:51:00.000;2017/05/24 11:15:00.000;00:01:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;11900,0
24;2017/05/25 09:52:00.000;2017/05/25 11:16:00.000;00:02:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
28;2017/05/25 09:52:00.000;2017/05/25 11:16:00.000;00:02:00;01:24:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
4;2017/05/26 17:27:00.000;2017/05/26 18:22:00.000;02:32:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Business;20000,0
3;2017/05/26 17:27:00.000;2017/05/26 18:22:00.000;02:32:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Business;20000,0
26;2017/05/26 17:27:00.000;2017/05/26 18:22:00.000;02:32:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
47;2017/05/26 17:27:00.000;2017/05/26 18:22:00.000;02:32:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
11;2017/05/26 17:27:00.000;2017/05/26 18:22:00.000;02:32:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
18;2017/05/26 17:27:00.000;2017/05/26 18:22:00.000;02:32:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
15;2017/05/28 14:59:00.000;2017/05/28 15:54:00.000;00:04:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
15;2017/05/28 09:54:00.000;2017/05/28 11:17:00.000;00:04:00;01:23:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
14;2017/05/28 14:59:00.000;2017/05/28 15:54:00.000;00:04:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
14;2017/05/28 09:54:00.000;2017/05/28 11:17:00.000;00:04:00;01:23:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
2;2017/05/28 14:59:00.000;2017/05/28 15:54:00.000;00:04:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Business;20000,0
2;2017/05/28 09:54:00.000;2017/05/28 11:17:00.000;00:04:00;01:23:00;Сухой Суперджет-100;Чебоксары;Пулково;Business;32600,0
25;2017/05/28 14:59:00.000;2017/05/28 15:54:00.000;00:04:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Business;20000,0
25;2017/05/28 09:54:00.000;2017/05/28 11:17:00.000;00:04:00;01:23:00;Сухой Суперджет-100;Чебоксары;Пулково;Business;32600,0
21;2017/05/29 14:56:00.000;2017/05/29 15:51:00.000;00:01:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
21;2017/05/29 09:52:00.000;2017/05/29 11:17:00.000;00:02:00;01:25:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
52;2017/05/29 14:56:00.000;2017/05/29 15:51:00.000;00:01:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
52;2017/05/29 09:52:00.000;2017/05/29 11:17:00.000;00:02:00;01:25:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
40;2017/05/29 14:56:00.000;2017/05/29 15:51:00.000;00:01:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
40;2017/05/29 09:52:00.000;2017/05/29 11:17:00.000;00:02:00;01:25:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
69;2017/05/29 14:56:00.000;2017/05/29 15:51:00.000;00:01:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
69;2017/05/29 09:52:00.000;2017/05/29 11:17:00.000;00:02:00;01:25:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
20;2017/05/29 14:56:00.000;2017/05/29 15:51:00.000;00:01:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
20;2017/05/29 09:52:00.000;2017/05/29 11:17:00.000;00:02:00;01:25:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
40;2017/05/29 14:56:00.000;2017/05/29 15:51:00.000;00:01:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
40;2017/05/29 09:52:00.000;2017/05/29 11:17:00.000;00:02:00;01:25:00;Сухой Суперджет-100;Чебоксары;Пулково;Economy;10900,0
37;2017/05/30 14:58:00.000;2017/05/30 15:53:00.000;00:03:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
37;2017/05/30 09:54:00.000;2017/05/30 11:19:00.000;00:04:00;01:25:00;Сухой Суперджет-100;Чебоксары;Пулково;Business;32600,0
25;2017/05/30 14:58:00.000;2017/05/30 15:53:00.000;00:03:00;00:55:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
25;2017/05/30 09:54:00.000;2017/05/30 11:19:00.000;00:04:00;01:25:00;Сухой Суперджет-100;Чебоксары;Пулково;Business;32600,0
24;2017/05/31 14:57:00.000;2017/05/31 15:53:00.000;00:02:00;00:56:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
24;2017/05/31 09:51:00.000;2017/05/31 11:17:00.000;00:01:00;01:26:00;Сухой Суперджет-100;Чебоксары;Пулково;Business;32600,0
25;2017/05/31 14:57:00.000;2017/05/31 15:53:00.000;00:02:00;00:56:00;Аэробус A321-200;Пулково;Домодедово;Economy;6700,0
25;2017/05/31 09:51:00.000;2017/05/31 11:17:00.000;00:01:00;01:26:00;Сухой Суперджет-100;Чебоксары;Пулково;Business;32600,0
